BSN,Building,Name,eMail,Internet,Notizen,AktuellerTarif,AktuelleBandbreite,Modified,LetzterTarif,LetzteBandbreite,Latest,LatestSource,Standort,Straße,PLZ,lat,lng,TelekomTarif,TelekomDownload,TelekomUpload,TelekomLTE
01G27,01G27,Gesundbrunnen-Grundschule,sekretariat@gesundbrunnen-grundschule.de,http://www.gesundbrunnen-grundschule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Prinzenallee 8,13357,52.55338,13.38292,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
01G28,01G28,Brüder-Grimm-Grundschule,sekretariat@bggs.schule.berlin.de,http://bggs-berlin.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Tegeler Str. 18-19,13353,52.54146,13.35783,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G29,01G29,Wilhelm-Hauff-Grundschule,01g29@01g29.schule.berlin.de,http://wilhelm-hauff-grundschule.de,,nicht bekannt,-,September 2019,,,,,Hauptstandort,Gotenburger Str. 8,13359,52.557813,13.384347,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
01G31,01G31,Wedding-Grundschule,plorenz@wedding-schule.de,http://www.wedding-schule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Antonstr. 10,13347,52.546206,13.362468,MagentaZuhause XL,250 MBit/s,50 MBit/s,300 MBit/s
01G32,01G32,Carl-Kraemer-Grundschule,carl-kraemer-grundschule@t-online.de,http://www.carl-kraemer-gs.de,,nicht bekannt,-,September 2019,,,,,Hauptstandort,Zechliner Str. 4,13359,52.56107,13.38284,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01G35,01G35,Humboldthain-Grundschule,sekretariat@humboldthain.schule.berlin.de,http://www.humboldthain-grundschule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Grenzstr. 7,13355,52.54323,13.380143,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
01G36,01G36,Andersen-Grundschule,info@andersen-grundschule.de,http://www.andersen-grundschule.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Kattegatstr. 26,13359,52.56553,13.38891,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G37,01G37,Heinrich-Seidel-Grundschule,info@hsgs.berlin,http://www.hsgs.berlin,,DSL 16000,16,September 2019,,,,,Hauptstandort,Ramlerstr. 9-10,13355,52.54695,13.39407,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
01G38,01G38,Gustav-Falke-Grundschule,info@gustav-falke-schule.de,http://www.gustav-falke-schule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Strelitzer Str. 42,13355,52.53795,13.39162,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G39,01G39,Vineta-Grundschule,info@vineta.schule.berlin.de,http://www.vineta-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Demminer Str. 27,13355,52.54222,13.3969,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01G40,01G40,Möwensee-Grundschule,sekretariat@moewensee-schule.de,http://www.moewensee-schule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Afrikanische Str. 123-125,13351,52.55575,13.33375,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
01G41,01G41,Erika-Mann-Grundschule,erika.mann.grundschule@googlemail.com,http://www.erika-mann-grundschule.com,,DSL 16000,16,September 2019,,,,,Hauptstandort,Utrechter Str. 25-27,13347,52.55099,13.35786,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
01G42,01G42,Anna-Lindh-Schule (Grundschule),01G42@01G42.schule.berlin.de,http://www.anna-lindh-schule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Guineastr. 17-18,13351,52.550375,13.341886,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
01G43,01G43,Albert-Gutzmann-Schule (Grundschule),info@gutzmannschule.de,http://www.gutzmannschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Orthstr. 1,13357,52.549234,13.373261,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01G44,01G44,Allegro-Grundschule,berlin@allegro-grundschule.de,http://www.allegro-grundschule.de,,Kein Internet,0,September 2019,,,,,Hauptstandort,Lützowstr. 83-85,10785,52.503571,13.363001,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
01G45,01G45,Leo-Lionni-Grundschule,info@leo-lionni-grundschule.de,http://www.leo-lionni-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Müllerstr. 158,13353,52.544342,13.361352,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G46,01G46a,Grundschule am Koppenplatz,sekretariat@koppenplatz.schule.berlin.de,http://www.schule-am-koppenplatz.de,,VDSL 50,50,September 2019,,,,,Hauptstandort,Koppenplatz 12,10115,52.52778,13.39745,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G46,01G46b,Grundschule am Koppenplatz,,,,unbekannt,-,September 2019,,,,,Filiale,Auguststr. 21,10117,52.526814,13.396224,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G46,01G46c,Grundschule am Koppenplatz,,,,,-,September 2019,,,,,Filiale,Bergstr. 5-9,10115,52.529508,13.395273,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G47,01G47,Miriam-Makeba-Grundschule,01G47@01G47.schule.berlin.de,http://www.miriam-makeba-schule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Zinzendorfstr. 15-16,10555,52.52232,13.331446,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
01G48,01G48,48. Schule (Grundschule),01G48@01G48.schule.berlin.de,http://www.48-schule-berlin.de,,,-,September 2019,,,,,Hauptstandort,Chausseestr. 82,13353,52.538256,13.372242,MagentaZuhause S,16 MBit/s,"2,4 MBit/s",0
01K01,01K01,Willy-Brandt-Schule,kontakt@willy-brandt-teamschule.de,http://www.willy-brandt-teamschule.de,,nicht bekannt,-,September 2019,,,,,Hauptstandort,Grüntaler Str. 5,13357,52.55101,13.386048,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01K02,01K02,Ernst-Schering-Schule,info@ernst-schering-schule.de,http://www.ernst-schering-schule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Lütticher Str. 47/48,13353,52.54701,13.34782,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01K03,01K03,Ernst-Reuter-Schule,info@ernst-reuter-oberschule.de,http://ernst-reuter-schule.berlin,,DSL 16000,16,September 2019,,,,,Hauptstandort,Stralsunder Str. 57,13355,52.538896,13.394373,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01K04,01K04,Heinrich-von-Stephan-Gemeinschaftsschule,sekretariat@hvs.schule.berlin.de,http://www.hvs-schule-berlin.de,,VDSL 50,50,September 2019,,,,,Hauptstandort,Neues Ufer 6,10553,52.524775,13.316714,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
01K06,01K06,Herbert-Hoover-Schule (Integrierte Sekundarschule),schulleitung@hhs-berlin.de,http://www.hhs-berlin.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Pankstraße 18-19,13357,52.546324,13.373398,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
01K07,01K07,Hemingway-Schule,sekretariat@hemingway-schule.de,http://www.hemingway-oberschule.de,,VDSL 50,50,September 2019,,,,,Hauptstandort,Gartenstr. 10-17,10115,52.530483,13.391682,MagentaZuhause M,50 MBit/s,10 MBit/s,300 MBit/s
01K08,01K08,Schule am Schillerpark (Integrierte Sekundarschule),sekretariat@schule-am-schillerpark.de,http://www.Schule-am-Schillerpark.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Ofener Str. 6,13349,52.55628,13.3457,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01K09,01K09,Hedwig-Dohm-Schule (Integrierte Sekundarschule),hedwig-dohm-os@web.de,http://www.hedwig-dohm-os.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Stephanstraße 27,10559,52.53367,13.34651,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01K10,01K10a,Theodor-Heuss-Gemeinschaftsschule,sekretariat@thgberlin.de,http://www.thgberlin.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Quitzowstr. 141,10559,52.535722,13.354875,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01K10,01K10b,Theodor-Heuss-Gemeinschaftsschule,,,,unbekannt,-,September 2019,,,,,Filiale,Siemensstr. 20,10551,52.532971,13.335494,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01S01,01S01,Schule am Zille-Park,info@schule-am-zille-park.de,http://www.schule-am-zille-park.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Ravenéstraße 10-12,13347,52.542859,13.372782,MagentaZuhause XL,175 MBit/s,40 MBit/s,0
01S05,01S05,Schule in der Charité,sekretariat@sidc.schule.berlin.de,klinikschulecharite.wordpress.com,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Augustenburger Platz 1,13353,52.542216,13.347104,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01S06,01S06,Albert-Gutzmann-Schule,info@gutzmannschule.de,http://www.gutzmannschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Orthstraße 1,13357,52.549234,13.373261,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01S07,01S07,Charlotte-Pfeffer-Schule,charlotte-pfeffer-schule@gmx.de,http://www.charlotte-pfeffer.schule-berlin.net,,DSL 16000,16,September 2019,,,,,Hauptstandort,Berolinastraße 8,10178,52.52226,13.42328,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01Y02,01Y02,John-Lennon-Gymnasium,sekretariat@jlgym-berlin.de,http://www.jlgym-berlin.de,,SVDSL 250,250,September 2019,,,,,Hauptstandort,Zehdenicker Straße 17,10119,52.530923,13.404105,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01Y04,01Y04,Musikgymnasium Carl Philipp Emanuel Bach,bach.musikgymnasium@berlin.de,http://musikgymnasium-berlin.de,,,,September 2019,,,,,,Rheinsberger Straße 4-5,10115,52.536635,13.395435,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
01Y07,01Y07,Französisches Gymnasium,mdormann-farnir@fg-berlin.eu,http://www.fg-berlin.eu,,,,September 2019,,,,,,Derfflingerstr. 7,10785,52.50318,13.35549,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01Y08,01Y08,Lessing-Gymnasium,post@lessing-gymnasium-berlin.de,http://www.lessing-gymnasium-berlin.eu,,VDSL 50,50,September 2019,,,,,Hauptstandort,Schöningstraße 17,13349,52.55734,13.34371,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01Y09,01Y09,Diesterweg-Gymnasium,sekretariat@diesterweg-gymnasium-berlin.de,http://www.diesterweg-gymnasium-berlin.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Böttgerstraße 2,13357,52.550012,13.378338,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01Y11,01Y11,Max-Planck-Gymnasium,sekretariat@mpg-berlin.de,http://www.mpg-berlin.de,,DSL 16000,16,September 2019,250 Mbit/s,250,6. Januar 2021,Schule,Hauptstandort,Singerstraße 8a,10179,52.515983,13.422886,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01Y12,01Y12,Gymnasium Tiergarten,sekretariat@gymnasium-tiergarten.de,http://gymnasium-tiergarten.de,,VDSL 50,50,September 2019,,,,,Hauptstandort,Altonaer Straße 26,10555,52.51935,13.3394,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G01,02G01a,Spartacus-Grundschule,schulleitung@grundschule-friedrichshain.de,http://www.grundschule-friedrichshain.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Friedenstr. 40-45,10249,52.52106,13.43582,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G01,02G01b,Spartacus-Grundschule,,,,,,September 2019,,,,,Filiale,Pufendorfstraße,10249,52.521224,13.438977,MagentaZuhause S,16 MBit/s,"2,4 MBit/s",300 MBit/s
02G02,02G02a,Hausburg-Grundschule,sek@hausburg-gs.schule-berlin-fk.de,http://www.hausburgschule.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Hausburgstr. 20,10249,52.524208,13.454324,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G02,02G02b,Hausburg-Grundschule,,,,VDSL 100,100,September 2019,,,,,2. Anschluss,,,52.524033,13.453599,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G03,02G03,Justus-von-Liebig-Grundschule,02g03@02g03.schule.berlin.de,http://www.jvl-gs.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Liebigstr. 18A,10247,52.518699,13.457697,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G04,02G04a,Pettenkofer-Grundschule,Sekretariat@pettenkofer.schule.berlin.de,http://www.pettenkofer-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Pettenkoferstr. 20-24,10247,52.518656,13.471,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G04,02G04b,Pettenkofer-Grundschule,,,,DSL 16000,16,September 2019,,,,,2. Anschluss,,,52.519228,13.470568,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G07,02G07a,Ludwig-Hoffmann-Grundschule,schulleitung@l-hoffmann.schule.berlin.de,http://www.ludwig-hoffmann-grundschule.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Lasdehner Str. 21-23,10243,52.513902,13.448500,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
02G07,02G07b,Ludwig-Hoffmann-Grundschule,,,,,,September 2019,,,,,Filiale,Lasdehner Str. 17,10243,52.514523,13.449147,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
02G07,02G07c,Ludwig-Hoffmann-Grundschule,,,,,,September 2019,,,,,Filiale,Lasdehner Str. 13,10243,52.514798,13.449818,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
02G08,02G08,Grundschule am Traveplatz,sek@gs-am-traveplatz.schule-berlin-fk.de,http://www.grundschule-am-traveplatz.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Jessnerstr. 24-32,10247,52.511492,13.471855,MagentaZuhause M,50 MBit/s,10 MBit/s,300 MBit/s
02G09,02G09,Zille-Grundschule,schulleitung@zille-grundschule.de,http://www.Zille-Grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Boxhagener Str. 46,10245,52.50898,13.4653,MagentaZuhause S,16 MBit/s,"2,4 MBit/s",300 MBit/s
02G10,02G10a,Modersohn-Grundschule,Schulleitung@modersohn.schule.berlin.de,http://www.modersohn-schule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Niemannstr. 3,10245,52.50705,13.46024,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G10,02G10b,Modersohn-Grundschule,,,,DSL 16000,16,September 2019,,,,,Filiale,Corinthstraße 7,10245,52.501886,13.458622,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G11,02G11,Thalia-Grundschule,Schulleitung@thalia-gs.schule.berlin.de,http://www.thalia-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Alt-Stralau 34,10245,52.492881,13.476151,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G12,02G12,Kurt-Schumacher-Grundschule,02g12@02g12.schule.berlin.de,http://www.kurt-schumacher-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Puttkamerstr. 19,10969,52.504384,13.388493,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
02G13,02G13,Charlotte-Salomon-Grundschule,Sekretariat@02G13.schule.berlin.de,http://www.charlotte-salomon-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Großbeerenstr. 40,10965,52.49041,13.38183,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G14,02G14a,Galilei-Grundschule,sekretariat@galilei-grundschule.de,http://www.galilei-grundschule.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Friedrichstr. 13,10969,52.501885,13.391531,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G14,02G14b,Galilei-Grundschule,,,,VDSL 100,100,September 2019,,,,,2. Anschluss,,,52.502037,13.392860,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G16,02G16,Lenau-Grundschule,info@lenau.net,http://lenau.net,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Nostitzstr. 60,10961,52.49381,13.39154,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G18,02G18,Nürtingen-Grundschule,sek@nuertingen.schule.berlin.de,http://www.nuertingen-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Mariannenplatz 28,10997,52.505234,13.427382,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G19,02G19,Fanny-Hensel-Grundschule,info@fanny-hensel-grundschule.de,http://www.Fanny-Hensel-Grundschule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Schöneberger Str. 23,10963,52.50303,13.38014,MagentaZuhause S,16 MBit/s,"2,4 MBit/s",300 MBit/s
02G20,02G20,Bürgermeister-Herz-Grundschule,sekretariat@bmh.schule.berlin.de,http://www.bmh-schule.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Wilmsstr. 10,10961,52.49488,13.40516,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G21,02G21,Reinhardswald-Grundschule,sekretariat@reinhardswald.schule.berlin.de,http://www.reinhardswald-grundschule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Gneisenaustr. 73-74,10961,52.49059,13.3999,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G22,02G22,Jens-Nydahl-Grundschule,sekretariat@jng.schule.berlin.de,,,DSL 16000,16,September 2019,,,,,Hauptstandort,Kohlfurter Str. 20,10999,52.497294,13.41619,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G23,02G23a,Fichtelgebirge-Grundschule,schulleitung@fichtelgebirge.schule.berlin.de,http://fichtelgebirge-grundschule-berlin.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Görlitzer Ufer 2,10997,52.495740,13.445167,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G23,02G23b,Fichtelgebirge-Grundschule,,,,DSL 16000,16,September 2019,,,,,2. Anschluss,,,52.496082,13.444369,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G24,02G24,Otto-Wels-Grundschule,sekretariat@otto-wels.schule.berlin.de,http://www.owg-berlin.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Alexandrinenstr. 12,10969,52.499923,13.401623,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G26,02G26,Lemgo-Grundschule,Sekretariat@lemgo.schule.de,http://www.lemgo-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Böckhstr. 5,10967,52.494198,13.416454,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G27,02G27,Hunsrück-Grundschule,schulleitung@hunsrueck-grundschule.de,http://www.Hunsrueck-Grundschule.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Manteuffelstr. 79,10999,52.497732,13.426632,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G29,02G29a,Heinrich-Zille-Grundschule,Heinrich-Zille-GS@web.de,http://www.Heinrich-Zille-Grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Waldemarstr. 118,10997,52.500729,13.429182,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G29,02G29b,Heinrich-Zille-Grundschule,,,,DSL 16000,16,September 2019,,,,,Filiale,Lausitzer Platz 9,10997,52.500249,13.431952,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02G31,02G31,Adolf-Glaßbrenner-Grundschule,Adolf-Glassbrenner-Schule@web.de,http://www.adolf-glassbrenner-schule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Hagelberger Str. 34,10965,52.49085,13.38065,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G32,02G32,Clara-Grunwald-Grundschule,clara-grunwald-gs@gmx.de,http://www.clara-grunwald.cidsnet.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Hallesche Str. 24,10963,52.50077,13.38313,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02G33,02G33,Aziz-Nesin-Grundschule,Sekretariat@aziz-nesin.schule.berlin.de,http://www.aziz-nesin-schule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Urbanstr. 15,10961,52.49312,13.40611,MagentaZuhause S,16 MBit/s,"2,4 MBit/s",300 MBit/s
02G34,02G34,Jane-Goodall-Grundschule,sekretariat@jane-goodall.schule.berlin.de,http://www.jane-goodall-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Scharnweberstr. 19,10247,52.51279,13.46783,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
02G35,02G35a,Rosa-Parks-Grundschule,mail@rosa-parks-grundschule.de,http://www.rosa-parks-grundschule.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Reichenberger Str. 65,10999,52.494703,13.432416,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
02G35,02G35b,Rosa-Parks-Grundschule,,,,VDSL 100,100,September 2019,,,,,2. Anschluss,,,52.494355,13.432026,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
02G35,02G35c,Rosa-Parks-Grundschule,,,,VDSL 100,100,September 2019,,,,,3. Anschluss,,,52.494969,13.431380,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
02G36,02G36a,Blumen-Grundschule,buero@36-grundschule.de,http://www.36-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Andreasstr. 52,10243,52.516383,13.431463,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
02G36,02G36b,Blumen-Grundschule,,,,DSL 16000,16,September 2019,,,,,2. Anschluss,,,52.515846,13.431268,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
02G36,02G36c,Blumen-Grundschule,,,,,,September 2019,,,,,Filiale,Singerstraße 87,10243,52.515704,13.429960,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
02K01,02K01,Ellen-Key-Schule,sek@e.key-os.schule-berlin-fk.de,http://www.eko-online.net,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Rüdersdorfer Str. 20-28,10243,52.5152,13.43689,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
02K02,02K02,Carl-von-Ossietzky-Schule (Gemeinschaftsschule),sekretariat@cvo-berlin.de,http://www.cvo-berlin.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Blücherstr. 46,10961,52.491647,13.404491,MagentaZuhause S,16 MBit/s,"2,4 MBit/s",300 MBit/s
